ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Measurement Scheme,Unit Of Sale,Volume Of Sale,Unit Of Purchase, Volume Of Purchase,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web, Is Variable Price, Is Tax Exempt Eligible, Is Excluded From Loyalty Points Gain, Additional Suppliers,Delete Product, Product Tags, Archived Product, Container Fee
10329797,Maharajah Ch Naan Garlic and Corindr 280,Maharajah Ch Naan Garlic and Corindr 280 g,3.94000,5.69000,5.69000,,0.0000,,Fresh rotis# milk# bread & eggs,,,,,,,9311503367257,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329798,Maharajah Ch Plain Naan 280 g,Maharajah Ch Plain Naan 280 g,3.35000,4.99000,4.99000,,0.0000,,Fresh rotis# milk# bread & eggs,,,,,,,9311503367271,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329799,Maharajah Ch Traditional Chapatti 6 pc,Maharajah Ch Traditional Chapatti 6 pc,2.40000,3.99000,3.99000,,0.0000,,Fresh rotis# milk# bread & eggs,,,,,,,9311503367004,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329800,Maharajah Choice Kewra Water 250ml,Maharajah Choice Kewra Water 250ml,1.60000,2.99000,2.99000,,0.0000,,Spices mixes# masala,,,,,,,9311503170246,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329801,Maharajahs Choice Desiccat Coconut 200 g,Maharajahs Choice Desiccat Coconut 200 g,2.64000,3.99000,3.99000,,0.0000,,Dry fruits & nuts,,,,,,,9311503200035,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329802,Maharajahs Choice Jasmine Incense 15stks,Maharajahs Choice Jasmine Incense 15stks,0.54000,1.49000,1.49000,,10.0000,,Pooja items,,,,,,,9311503710602,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329803,Maharajahs Choice Lavenda Incense 15stks,Maharajahs Choice Lavenda Incense 15stks,0.83000,1.69000,1.69000,,10.0000,,Pooja items,,,,,,,9311503710701,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329804,Maharajahs Choice Rock Salt 500g,Maharajahs Choice Rock Salt 500g,1.73000,2.49000,2.49000,,0.0000,,Sugar# salt,,,,,,,9311503156608,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329805,Maharajahs Choice Rose Essesnce 250ml,Maharajahs Choice Rose Essesnce 250ml,2.54000,3.49000,3.49000,,0.0000,,Miscellaneous,,,,,,,0,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329806,Maharajahs Choice Sandal Incense 15stks,Maharajahs Choice Sandal Incense 15stks,0.83000,1.69000,1.69000,,10.0000,,Pooja items,,,,,,,9311503711005,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329807,Maharajahs Choice Threaded Coconut 150,Maharajahs Choice Threaded Coconut 150,2.20000,3.49000,3.49000,,0.0000,,Dry fruits & nuts,,,,,,,9311503200042,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329808,Maharajahs Choice Threaded Coconut 500 g,Maharajahs Choice Threaded Coconut 500 g,4.25000,5.99000,5.99000,,0.0000,,Dry fruits & nuts,,,,,,,9311503200066,Ostindo Intl Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329809,Mala Impex Cloves 100g,Mala Impex Cloves 100g,2.95000,4.49000,4.49000,,0.0000,,Spices,,,,,,,8907693000282,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329810,Mala quot s Jaggery Powder 500gm,Mala quot s Jaggery Powder 500gm,2.25000,3.29000,3.29000,,0.0000,,Sweets,,,,,,,764460140460,Mala Impex Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329811,Malabar Treats Garlic Mixture 400g,Malabar Treats Garlic Mixture 400g,3.58000,5.49000,5.49000,,10.0000,,Snacks & chips,,,,,,,8906082390072,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329812,Malabar Treats Jaggery Cube (Brown) 1kg,Malabar Treats Jaggery Cube (Brown) 1kg,4.68000,6.99000,6.99000,,0.0000,,Sugar# salt,,,,,,,8906082393622,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329813,MALABAR TREATS JAGGERY CUBE (LIGHT BROWN,MALABAR TREATS JAGGERY CUBE (LIGHT BROWN) 1KG,4.25000,5.99000,5.99000,,0.0000,,Sugar# salt,,,,,,,8906082391239,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329814,Malabar Treats Jaggery Cube Brown 500g,Malabar Treats Jaggery Cube Brown 500g,2.25000,3.49000,3.49000,,0.0000,,Sugar# salt,,,,,,,8906082390973,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329815,Malabar Treats Kozhikoden Mixture 400 gm,Malabar Treats Kozhikoden Mixture 400 gm,3.25000,5.49000,5.49000,,0.0000,,Snacks & chips,,,,,,,8906082393172,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329816,Malabar Treats Masala Murukku 454g,Malabar Treats Masala Murukku 454g,3.65000,5.99000,5.99000,,10.0000,,Snacks & chips,,,,,,,8906082390737,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329817,Malabar Treats Palak Murukku 454g,Malabar Treats Palak Murukku 454g,3.65000,5.99000,5.99000,,10.0000,,Snacks & chips,,,,,,,8906082390720,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329818,Malabar Treats Peanut Ball,Malabar Treats Peanut Ball,2.50000,4.99000,4.99000,,0.0000,,Sweets,,,,,,,8906082390966,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329819,Malabar Treats Peanut Masala 200g,Malabar Treats Peanut Masala 200g,2.50000,4.49000,4.49000,,10.0000,,Snacks & chips,,,,,,,8906082391321,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329820,Malabar Treats Rice Murukku 454g,Malabar Treats Rice Murukku 454g,3.65000,5.99000,5.99000,,10.0000,,Snacks & chips,,,,,,,8906082393370,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10329821,Malabar Treats Salted Chilly 100 gm,Malabar Treats Salted Chilly 100 gm,1.50000,2.49000,2.49000,,0.0000,,Miscellaneous,,,,,,,8906082393240,Wales Trading Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
